Cue,LeftStim,RightStim,Reward,Choice,PrevChoice,Difficulty,Movement
0.099524,0.027125,0,0.19312,0,0.39604,0,0.28419
0.08865,0,0,0,0,0.67703,0.23432,0
0.0019957,0,0,0,0.19558,0,0.80242,0
0.10481,0.037987,0.097371,0.18942,0.5444,0.024042,0.0019764,0
0,0.60663,0.09192,0.13788,0.1596,0.0039732,0,0
0.33165,0,0,0.29703,0.16828,0.10434,0,0.098706
0.073729,0.072949,0.20924,0.27692,0,0.36717,0,0
0.4724,0.24034,0.053957,0.21166,0,0,0.021634,0
0.23635,0.3382,0.29034,0.070981,0,0,0.036797,0.027333
0.14887,0,0.039034,0.33899,0,0,0.47311,0
0,0.056077,0,0,0.36162,0.28758,0.29472,0
0.2408,0.065509,0,0.39747,0.23751,0,0,0.05871
0,0.044365,0.5166,0.43061,0,0,0,0.0084266
0,0.094075,0.27095,0.2062,0,0,0.42878,0
0,0.11011,0.093371,0,0.31912,0.33615,0.14125,0
0.071093,0.095901,0.049058,0.48549,0,0.21141,0.033677,0.053363
0.28061,0.53051,0.05921,0,0,0,0,0.12966
0,0,0.1681,0,0.78871,0.043197,0,0
0.22874,0.26433,0.17398,0.27547,0,0,0,0.057486
0.20744,0.084618,0.012478,0,0.50803,0.15622,0.023056,0.0081624
0.079894,0.46636,0.29289,0.002509,0.15834,0,0,0
0.093317,0.018614,0.00078402,0.0093606,0.68736,0.18584,0,0.0047223
0.067015,0.20759,0.21534,0.18674,0,0,0.30849,0.014826
0.18642,0.21867,0.13816,0.035635,0,0,0.41905,0.0020669
0.024451,0.29711,0.01144,0,0.36142,0.30558,0,0
0.080097,0.33728,0.09658,0.275,0,0,0.1879,0.023147
0,0,0,0.72136,0,0.012079,0,0.26656
0,0.34918,0.093627,0.3588,0,0,0.19518,0.003216
0.015503,0.019855,0.01851,0.82354,0,0,0.11179,0.010796
0,0.3014,0.12933,0.23662,0.062412,0,0.26271,0.0075348
0.62103,0,0.14074,0.22815,0,0,0,0.010088
